Signal,Feature,Coverage,Accepted_Images,Rejected_Images,Mean_Dice
Agreement Dice,agreement_dice,1.0,1223,0,0.7313837993501425
Agreement Dice,agreement_dice,0.95,1162,61,0.7598670832160741
Agreement Dice,agreement_dice,0.8999999999999999,1101,122,0.78708714755671
Agreement Dice,agreement_dice,0.8499999999999999,1040,183,0.8181815089039247
Agreement Dice,agreement_dice,0.7999999999999998,979,244,0.8611398229737056
Agreement Dice,agreement_dice,0.7499999999999998,918,305,0.883164631431577
Agreement Dice,agreement_dice,0.6999999999999997,857,366,0.8882623752818359
Agreement Dice,agreement_dice,0.6499999999999997,795,428,0.8950926556430169
Agreement Dice,agreement_dice,0.5999999999999996,734,489,0.9016741763850878
Agreement Dice,agreement_dice,0.5499999999999996,673,550,0.905608144426597
Agreement Dice,agreement_dice,0.49999999999999956,612,611,0.9108811188538987
Agreement Dice,agreement_dice,0.4499999999999995,551,672,0.9131338269251241
Agreement Dice,agreement_dice,0.39999999999999947,490,733,0.9167557471432297
Agreement Dice,agreement_dice,0.3499999999999994,429,794,0.92227826445485
Agreement Dice,agreement_dice,0.2999999999999994,367,856,0.9265945628137918
Agreement Dice,agreement_dice,0.24999999999999933,306,917,0.9266356967282988
Agreement Dice,agreement_dice,0.1999999999999993,245,978,0.9335518146087697
Agreement Dice,agreement_dice,0.14999999999999925,184,1039,0.9404995931050427
Agreement Dice,agreement_dice,0.0999999999999992,123,1100,0.9448487309282829
Agreement IoU,agreement_iou,1.0,1223,0,0.7313837993501425
Agreement IoU,agreement_iou,0.95,1162,61,0.7598670832160741
Agreement IoU,agreement_iou,0.8999999999999999,1101,122,0.78708714755671
Agreement IoU,agreement_iou,0.8499999999999999,1040,183,0.8181815089039247
Agreement IoU,agreement_iou,0.7999999999999998,979,244,0.8611398229737056
Agreement IoU,agreement_iou,0.7499999999999998,918,305,0.883164631431577
Agreement IoU,agreement_iou,0.6999999999999997,857,366,0.8882623752818359
Agreement IoU,agreement_iou,0.6499999999999997,795,428,0.8950926556430169
Agreement IoU,agreement_iou,0.5999999999999996,734,489,0.9016741763850878
Agreement IoU,agreement_iou,0.5499999999999996,673,550,0.905608144426597
Agreement IoU,agreement_iou,0.49999999999999956,612,611,0.9108811188538987
Agreement IoU,agreement_iou,0.4499999999999995,551,672,0.9131338269251241
Agreement IoU,agreement_iou,0.39999999999999947,490,733,0.9167557471432297
Agreement IoU,agreement_iou,0.3499999999999994,429,794,0.92227826445485
Agreement IoU,agreement_iou,0.2999999999999994,367,856,0.9265945628137918
Agreement IoU,agreement_iou,0.24999999999999933,306,917,0.9266356967282988
Agreement IoU,agreement_iou,0.1999999999999993,245,978,0.9335518146087697
Agreement IoU,agreement_iou,0.14999999999999925,184,1039,0.9404995931050427
Agreement IoU,agreement_iou,0.0999999999999992,123,1100,0.9448487309282829
Area Ratio,area_ratio,1.0,1223,0,0.7313837993501425
Area Ratio,area_ratio,0.95,1162,61,0.7494646412915463
Area Ratio,area_ratio,0.8999999999999999,1101,122,0.765589594221322
Area Ratio,area_ratio,0.8499999999999999,1040,183,0.7724891397294679
Area Ratio,area_ratio,0.7999999999999998,979,244,0.7711486781114906
Area Ratio,area_ratio,0.7499999999999998,918,305,0.7669402238747545
Area Ratio,area_ratio,0.6999999999999997,857,366,0.7604486309239799
Area Ratio,area_ratio,0.6499999999999997,795,428,0.7518389752328094
Area Ratio,area_ratio,0.5999999999999996,734,489,0.7399420716048115
Area Ratio,area_ratio,0.5499999999999996,673,550,0.724418124167798
Area Ratio,area_ratio,0.49999999999999956,612,611,0.7117769155399425
Area Ratio,area_ratio,0.4499999999999995,551,672,0.6947011016994358
Area Ratio,area_ratio,0.39999999999999947,490,733,0.6695748487505051
Area Ratio,area_ratio,0.3499999999999994,429,794,0.6332508460568936
Area Ratio,area_ratio,0.2999999999999994,367,856,0.5888188322670951
Area Ratio,area_ratio,0.24999999999999933,306,917,0.5294893211849041
Area Ratio,area_ratio,0.1999999999999993,245,978,0.4315855701144051
Area Ratio,area_ratio,0.14999999999999925,184,1039,0.2701883096642991
Area Ratio,area_ratio,0.0999999999999992,123,1100,0.023640735647722518
Boundary Agreement,boundary_agreement,1.0,1223,0,0.7313837993501426
Boundary Agreement,boundary_agreement,0.95,1162,61,0.7548584348422069
Boundary Agreement,boundary_agreement,0.8999999999999999,1101,122,0.7859025020040136
Boundary Agreement,boundary_agreement,0.8499999999999999,1040,183,0.8196080931890191
Boundary Agreement,boundary_agreement,0.7999999999999998,979,244,0.85914780894603
Boundary Agreement,boundary_agreement,0.7499999999999998,918,305,0.8792173925586625
Boundary Agreement,boundary_agreement,0.6999999999999997,857,366,0.8859181844467215
Boundary Agreement,boundary_agreement,0.6499999999999997,795,428,0.8915892579310395
Boundary Agreement,boundary_agreement,0.5999999999999996,734,489,0.8968490994697622
Boundary Agreement,boundary_agreement,0.5499999999999996,673,550,0.8972894525621078
Boundary Agreement,boundary_agreement,0.49999999999999956,612,611,0.8988236147651343
Boundary Agreement,boundary_agreement,0.4499999999999995,551,672,0.9034351116644024
Boundary Agreement,boundary_agreement,0.39999999999999947,490,733,0.9050746287034487
Boundary Agreement,boundary_agreement,0.3499999999999994,429,794,0.9077515905897628
Boundary Agreement,boundary_agreement,0.2999999999999994,367,856,0.9107570889103083
Boundary Agreement,boundary_agreement,0.24999999999999933,306,917,0.9101429665605323
Boundary Agreement,boundary_agreement,0.1999999999999993,245,978,0.9090281358289807
Boundary Agreement,boundary_agreement,0.14999999999999925,184,1039,0.920984014795736
Boundary Agreement,boundary_agreement,0.0999999999999992,123,1100,0.9168359933235014
Centroid Distance,centroid_distance,1.0,1223,0,0.7313837993501425
Centroid Distance,centroid_distance,0.95,1162,61,0.7640469458868596
Centroid Distance,centroid_distance,0.8999999999999999,1101,122,0.7960520138509206
Centroid Distance,centroid_distance,0.8499999999999999,1040,183,0.8267808204947078
Centroid Distance,centroid_distance,0.7999999999999998,979,244,0.8631034402570822
Centroid Distance,centroid_distance,0.7499999999999998,918,305,0.8818447723020584
Centroid Distance,centroid_distance,0.6999999999999997,857,366,0.8892226993637036
Centroid Distance,centroid_distance,0.6499999999999997,795,428,0.8911315889602568
Centroid Distance,centroid_distance,0.5999999999999996,734,489,0.8941564214081106
Centroid Distance,centroid_distance,0.5499999999999996,673,550,0.8978407438841987
Centroid Distance,centroid_distance,0.49999999999999956,612,611,0.9011485872142436
Centroid Distance,centroid_distance,0.4499999999999995,551,672,0.9021577566359257
Centroid Distance,centroid_distance,0.39999999999999947,490,733,0.906468229572533
Centroid Distance,centroid_distance,0.3499999999999994,429,794,0.9061220778828502
Centroid Distance,centroid_distance,0.2999999999999994,367,856,0.9082447818062578
Centroid Distance,centroid_distance,0.24999999999999933,306,917,0.9071189790926257
Centroid Distance,centroid_distance,0.1999999999999993,245,978,0.9119499118034569
Centroid Distance,centroid_distance,0.14999999999999925,184,1039,0.909779885212463
Centroid Distance,centroid_distance,0.0999999999999992,123,1100,0.9170316083978843
